Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce MX150 (0)"
    Kernel: interleavedReduce(int*, int)
          1                             inst_per_warp                                                 Instructions per warp  774.125000  774.125000  774.125000
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      75.42%      75.42%      75.42%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      74.26%      74.26%      74.26%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.001292    0.001292    0.001292
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                                  Global Load Transactions Per Request    9.468085    9.468085    9.468085
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    2.702128    2.702128    2.702128
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions           0           0           0
          1                  local_store_transactions                                              Local Store Transactions           0           0           0
          1                          gld_transactions                                              Global Load Transactions         890         890         890
          1                          gst_transactions                                             Global Store Transactions         127         127         127
          1                  sysmem_read_transactions                                       System Memory Read Transactions           9           9           9
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions         344         344         344
          1                     l2_write_transactions                                                 L2 Write Transactions         140         140         140
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  116.98MB/s  116.98MB/s  116.98MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  58.490MB/s  58.490MB/s  58.490MB/s
          1                            gld_throughput                                                Global Load Throughput  466.09MB/s  466.09MB/s  466.09MB/s
          1                            gst_throughput                                               Global Store Throughput  233.04MB/s  233.04MB/s  233.04MB/s
          1                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      33.51%      33.51%      33.51%
          1                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)     100.00%     100.00%     100.00%
          1                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)     100.00%     100.00%     100.00%
          1                      tex_cache_throughput                                              Unified Cache Throughput  407.37MB/s  407.37MB/s  407.37MB/s
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  466.09MB/s  466.09MB/s  466.09MB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  233.04MB/s  233.04MB/s  233.04MB/s
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  631.23MB/s  631.23MB/s  631.23MB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  256.90MB/s  256.90MB/s  256.90MB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  16.515MB/s  16.515MB/s  16.515MB/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  9.1749MB/s  9.1749MB/s  9.1748MB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      25.10%      25.10%      25.10%
          1                            gst_efficiency                                        Global Memory Store Efficiency      25.10%      25.10%      25.10%
          1                    tex_cache_transactions                                            Unified Cache Transactions         222         222         222
          1                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)        2048        2048        2048
          1                             inst_executed                                                 Instructions Executed        6193        6193        6193
          1                               inst_issued                                                   Instructions Issued        6201        6201        6201
          1                        sysmem_utilization                                             System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       1.55%       1.55%       1.55%
